Paragraphs,Score
"Foreign Minister Wang Yi, Afghan Foreign Minister Salahuddin Rabbani and Pakistani Foreign Minister Khawaja Muhammad Asif jointly met the press and took questions after the Dialogue.",1
My colleagues have also briefed you on and taken questions about the Dialogue at this podium.,2
"As neighbors, China, Afghanistan and Pakistan are linked by rivers and mountains, share common interests and have cultural and people-to-people bonds.",1
It is only natural and necessary for the three countries to cooperate with each other.,2
"We have reached 8 pointed consensus in this Dialogue, including agreeing on further deepening coordination and cooperation on counterterrorism and indiscriminately combating all terrorist organizations and terrorists.",2
We believe the three sides will follow through on the consensus reached by the foreign ministers and continue to advance counterterrorism cooperation.,2
"A: According to important consensus reached by President Xi Jinping and Russian President Vladimir Putin, China and Russia will hold the event of the year of China-Russia local cooperation and exchange from 2018 to 2019.",2
Local cooperation is an important part of China-Russia Comprehensive Strategic Partnership of Coordination.,2
"At present, the local cooperation between the two countries has shown the momentum of positive development and its role in China-Russia practical cooperation has been on the rise.",2
The holding of the year of China-Russia local cooperation and exchange carries on the good tradition of national thematic year event between the two sides in recent years and showcases the high standard and the specialty of China-Russia relations.,2
"It will help motivate the locality to engage in cooperation, tap into the potential for cooperation and further enrich the meaning of China-Russia Comprehensive Strategic Partnership of Coordination.",2
China and Russia are now maintaining communication on the preparatory work for the year of China-Russia local cooperation and exchange in an effort to ensure the full success of this major event.,2
A: There is only one China in the world.,1
"The Government of the People's Republic of China is the only legal government representing the whole of China, and Taiwan is an inalienable part of China's territory.",1
"It is completely in line with international law and norms guiding international relations for the Dominican Republic to sever the so-called ""diplomatic ties"" with the Taiwan region and establish diplomatic relations with the People's Republic of China.",1
It also serves the fundamental and long-term interests of the people in the two countries.,2
"Everything involved is logical, rightful and aboveboard.",2
There is no lure or deal to speak of.,0
"China's establishment of diplomatic ties with the Dominican Republic is conditioned on only one premise, which is the recognition and adherence to the one-China principle, a position that has been declared by the Dominican side in the Joint Communiqu� on the Establishment of Diplomatic Relations between the People's Republic of China and the Dominican Republic and their public statements.",1
We believe that the establishment of diplomatic ties between China and the Dominican Republic will open up broad prospects for the all-around friendly cooperation between the two countries.,2
It corresponds with the aspiration of the people and the trend of the times.,2
A: State Councilor and Foreign Minister Wang Yi's visit to the DPRK is an important measure for the two sides to follow through on the consensus of the two state leaders and strengthen high-level exchange and strategic communication.,2
"The two sides will exchange in-depth views on China-DPRK relations, the situation on the Peninsula, etc.",2
We will release the information on this visit in due course.,1
"As for what role China is going to play regarding the Peninsula issue, China has always stayed committed to realizing the denuclearization of the Peninsula, upholding its peace and stability and finding a solution that accommodates the legitimate security concern of various parties through dialogue and negotiation.",2
"In response to the crux of the Peninsula issue, China put forward the ""suspension-for-suspension""proposal and the dual-track approach, namely, advancing the denuclearization and establishing the peace regime of the Korean Peninsula in a synchronized manner, with a view to realizing the lasting peace and stability of the Peninsula and this region.",2
We are pleased to see that the situation on the Peninsula is moving forward in the right direction.,2
We hope to work with various parties to consolidate and carry on the positive momentum on the Peninsula and continue to make positive efforts and play a constructive role for the final settlement of the Peninsula issue.,2
"A: As you just said, trade-related issues are within the remit of the Commerce Ministry.",1
"Since you asked this question, I can confirm that China welcomes the upcoming visit by a US delegation led by Treasury Secretary Steven Mnuchin, who is also US President's special envoy, scheduled from May 3 to 4.",1
"Chinese Vice Premier Liu He, also a member of the Political Bureau of the Communist Party of China Central Committee, will exchange views on China-US economic and trade issues of common concern with the US delegation.",1
You asked about our expectations and whether the talks will produce any breakthroughs.,1
We have been reiterating our views on China-US economic and trade relations multiple times.,1
"As the world's top two economies, the US and China should properly resolve relevant disputes through equal-footed consultation and maintain the long-term stability of China-US economic and trade ties.",2
It undoubtedly serves the common interests of the two countries as well as the world economic stability and growth.,2
"In light of the economic volumes of the two countries and the complexity of bilateral ties, it is never very practical to imagine all problems being wiped out through one-time consultation.",0
"However, as long as the US is sincere about maintaining the long-term stability of China-US economic and trade ties and comes to the negotiating table with mutual respect, equal-footed consultation and win-win results in mind, then we believe that the bilateral consultation would be constructive.",2
A: China's position on the issue of unilateral sanctions is consistent and clear.,1
We always oppose the imposition of unilateral sanctions on others by any certain country in accordance with its domestic law.,0
"There have been a series of positive changes in the situation on the Korean Peninsula at the moment, which is the result of the concerted efforts made by all relevant parties, thus worth cherishing and preserving all the more.",2
"All parties should speak and act in a way that is conducive to carrying on the current positive momentum, make greater diplomatic efforts to follow the dual-track approach, namely advancing the denuclearization and establishing the peace regime of the Korean Peninsula in a synchronized manner, with a view to realizing the lasting peace and stability there.",2
A: President Xi Jinping and Prime Minister Modi held an informal meeting in Wuhan from April 27 to 28.,1
The two leaders had sincere and candid discussions in a lighthearted and cordial atmosphere.,2
"They had a thorough exchange of views and reached important consensus on the international landscape, China-India relations and bilateral cooperation in various fields.",2
"The two leaders further clarified the trend of the times and the historic positioning of China and India, identified the important guiding principles for the development of China-India relations, and drew a grand blueprint for the China-India comprehensive cooperation.",2
The two leaders also instructed relevant departments on the two sides to come up with specific working plans and follow-up steps.,1
"This informal meeting, which took place in an innovative format, was of great significance.",2
"Featuring in-depth exchanges covering a wide array of subjects, the meeting was based on the current circumstances while bearing in mind the future development.",2
"It deepened the friendship and mutual trust between the two leaders and created a new model for China-India leadership exchanges, writing a new chapter for China-India relations and exerting positive influence on regional and global stability and development.",2
China would like to work with India to step up implementation of the important consensus reached between the two leaders and take this meeting as an opportunity to open up new prospects for the mutually beneficial cooperation between the two sides.,2
A: The China-Japan-ROK cooperation makes up an important part of East Asian cooperation.,2
"Since its inception 19 years ago, the China-Japan-ROK cooperation has formed an all-dimensional cooperation system with the leaders' meeting at its core and underpinned by 21 ministerial meetings and over 70 consultations at working level, and a Secretariat has also been established.",2
"The three countries have witnessed fruitful outcomes of exchange and cooperation in such fields as trade, economy, finance, transportation, culture, education, environment, public health and disaster management.",2
We have also signed the China-Japan-ROK Investment Agreement and held 13 rounds of Free Trade Agreement negotiations.,1
The total trade between the three countries registered around $670 billion in 2017 and over 28 million people traveled in between the three countries.,1
The 7th China-Japan-ROK leaders' meeting will be held on the morning of May 9.,1
"Premier Li Keqiang, Prime Minister Shinzo Abe and President Moon Jae-in will attend that meeting, jointly meet with the press, and address the opening ceremony of the China-Japan-ROK business summit.",1
Next year will mark the 20th anniversary of the China-Japan-ROK cooperation.,2
"We are convinced that this leaders' meeting will open up a new ground for the China-Japan-ROK cooperation and make new contributions to regional peace, stability, development and prosperity.",2
"This year marks the 40th anniversary of the signing of the Treaty of Peace and Friendship between China and Japan, presenting important opportunities for the improvement and development of China-Japan relations.",2
"With the concerted efforts of the two sides, China-Japan relations now take on a momentum of improvement.",2
Premier Li Keqiang's visit makes the first official one by a Chinese premier within the latest 8 years.,2
"During the visit, he will have a talk with Prime Minister Shinzo Abe, meet with Emperor Akihito and engage with people from political parties and all walks of life.",2
"We believe it will further consolidate the momentum of improvement for China-Japan relations, help bilateral relations return to the track of normal development and chart the course for our bilateral relations in the future.",2
A: China firmly upholds the peace and stability of the Korean Peninsula and maintains that the temporary armistice mechanism should be replaced by a permanent peace regime on the Peninsula.,2
We hope that all relevant parties should work together for this goal through dialogue and negotiation.,2
China will continue to play its role in advancing the establishment of the Peninsula peace regime.,2
A: We have noted relevant reports as well as responses made by the relevant parties.,2
The Joint Comprehensive Plan of Action (JCPOA) was agreed by Iran and the five permanent members of the UN Security Council plus Germany (the P5+1) which was endorsed by the UN Security Council to ensure the peace nature of the Iranian nuclear programme.,2
The International Atomic Energy Agency (IAEA) is the only international organization that has the authority to monitor and verify Iran's compliance with the JCPOA and reach a conclusion on the nature of the Iranian nuclear programme.,2
We have noted that the IAEA has verified Iran's full compliance with the JCPOA obligations for ten times.,1
The JCPOA put in place the strictest monitoring and verification measures on the Iranian nuclear programme.,1
What is imperative is for all relevant parties to bear in mind the general and long-term picture and continue to earnestly implement and safeguard the JCPOA.,1
"A: As I understand, these projects you mentioned are entirely commercial cooperation projects between companies, so are you asking about the Chinese government's comment on a specific commercial project?",1
I believe the issues arising in the process of commercial cooperation should be resolved through friendly negotiation by those relevant business partners.,2
"A: During the informal meeting in Wuhan, the two leaders exchanged views and reached important consensus on the international situation, China-India relations, and other macro-level topics, which sets out important guiding principles for the development of China-India relations and points out a direction for the handling and settlement of border issues.",2
"The two sides agreed to focus on the long-term picture, position the border issues at an appropriate place in the framework of bilateral ties, engage in communications and dialogues to explore a settlement acceptable to all, and properly manage the issues and prevent them from worsening until a settlement is reached.",1
"The two militaries will enhance confidence building measures and border defense exchanges and cooperation, which will contribute to increasing mutual trust, managing the relevant issues in a more mature and wise way, and maintaining peace and tranquility in the border areas.",2
"A: The Chinese side calls upon all relevant parties in Libya to immediately stop clashes, resolve differences through dialogue and negotiation, continue to move forward the political settlement process and realize reconciliation and stability at an early date.",1
A: I have seen relevant reports.,1
"The Chinese Consulate-General in Chicago is closely following the relevant news, trying to find out more about the case and verify the relevant situation with the competent authorities in the United States.",1
"A: With regard to which Chinese leader will visit the DPRK and attend the National Day's celebrations there, I have no information to offer to you at this point.",1
A: I have seen your relevant report and also noted that your report said you have asked China's cyberspace administration authority.,1
"What's more, your report has cited the response from the relevant authority in details, so I believe you are quite clear about this question.",1
A: I am not aware of the situation mentioned by you.,1
You may ask the competent authority of Myanmar.,1
A: I think you raised this question at an inopportune time.,1
China is not a contracting party to the Rome Statute.,1
The Chinese side holds reservations about the International Criminal Court's indictment against Sudanese President Omar al-Bashir.,1
We hope that the International Criminal Court can handle the relevant issue in a prudent manner.,1
China and Sudan enjoy good friendship.,2
"We support the efforts made by Sudan to uphold national sovereignty, security and stability.",2
We are willing to work with Sudan to continue to make positive contributions to achieving peace and stability in South Sudan.,2
A: We have seen relevant reports.,1
"This bill reflects the aspiration of all sectors in California to maintain steady development of China-US ties, which we believe is also what the vast majority of the US people want and agree with.",1
Subnational exchanges and cooperation is an important component of China-US ties.,2
"In recent years, subnational cooperation between the two countries have been thriving, delivering rich outcomes in the fields of economy, trade, culture and people-to-people exchanges and tangible benefits to the people of the two sides.",2
Quite a few US governors have made trips to China to express their willingness to expand and deepen all-around cooperation with China.,2
"When subnational exchanges between the two sides get more frequent, bilateral cooperation more fruitful and people-to-people exchanges closer, the common interests shared by the two sides will be expanded and the overall development of the China-US relations be driven forward.",2
"We hope that China and the US could work together to consolidate agreement on subnational cooperation, tap into the complementary subnational strength, and expand two-way trade and investment so that China-US subnational exchanges could bring more opportunities and dividends to the two peoples.",2
Sentence,
A: I have noticed relevant reports.,1
"Over the past year, the situation on the Korean Peninsula has undergone important and positive changes.",2
"The Peninsula issue has returned to the track of dialogues and negotiations, and inter-Korean relations have achieved comprehensive improvement and development.",2
"The Chinese side fully acknowledges the important measures taken by the DPRK towards the realization of the denuclearization of the Peninsula, supports the DPRK in holding onto its denuclearization stance and peaceful dialogues, supports the DPRK-US and DPRK-ROK efforts in sustaining their sound interactive momentum by demonstrating more goodwill to each other, consolidating mutual trust and continuously improving relations so as to promote the denuclearization of the Peninsula and the political settlement of the Peninsula issue.",2
"As President Xi Jinping pointed out on December 29 in his phone call with US President Trump at the latter's request, China encourages and supports the DPRK and the US in having more dialogues for positive outcomes.",2
We hope that the DPRK and the US could respect and accommodate each other's legitimate concerns and make positive progress in promoting the denuclearization of the Korean Peninsula and the building of a peace mechanism on the Korean Peninsula in the new year.,1
China will continue to play a part in this regard.,2
A: China and Pakistan are all-weather strategic partners of cooperation.,2
"The Chinese side has offered and will continue to offer its best through assistance, trade, investment and all-around practical cooperation to support and boost Pakistan's economic and social development.",2
Our two sides in fact have been in close communication with each other on the relevant cooperation.,2
"A: China, as a friendly neighbor to Bangladesh, has noted the smooth running of its 11th national parliamentary election.",2
We congratulate the Awami League on winning the election under the leadership of Chairperson Hasina.,2
We would like to work with the new Bangladeshi government to move forward China-Bangladesh strategic partnership of cooperation.,2
"A: I am glad that you have followed President Xi Jinping's important speech this morning for the 40th anniversary of issuing Message to Compatriots in Taiwan which comprehensively reviews the breakthroughs and progress made by cross-Straits relations over seven decades since the founding of the PRC, especially since the implementation of the principle of peaceful reunification.",1
President Xi Jinping expounded on China's major policies and propositions to move forward China's peaceful reunification for the great rejuvenation of the Chinese nation in the new era.,1
I hope that you could have a comprehensive understanding of President Xi Jinping's speech.,1
President Xi Jinping also made it very clear in his speech that adherence to the one-China principle is a consensus shared by the international community.,1
"The international community generally understands and supports the just cause of the Chinese people in opposing ""Taiwan independence"" separatist activities and realizing national reunification.",1
President Xi Jinping made the message explicitly clear in his speech.,1
We make no promise to renounce the use of force.,1
"This does not target compatriots in Taiwan, but the interference of external forces and the very small number of ""Taiwan independence"" separatists and their activities.",1
"In fact, you should note that China's stance on this has never changed.",1
"A: According to the information I have, the Chinese oceanographic research ship ""Xiangyanghong 1"" recently conducted marine scientific and research activities in waters near Okinotori in accordance with the law.",1
"I want to stress that firstly, as a signatory to UNCLOS, China consistently observes the relevant provisions of UNCLOS in its marine scientific and research activities.",1
"Secondly, according to UNCLOS, Okinotori reef does not meet the basic requirements to be recognized as island.",1
"The Japanese side unilaterally calls it an island and claims the so-called EEZ and continental shelf, but the Chinese side has never acknowledged that.",0
"A: The above-mentioned Act seriously violates the one-China principle and the provisions of the three China-US joint communiques, and grossly interferes in China's internal affairs.",0
The Chinese side expresses strong dissatisfaction with and resolute opposition to the US insisting on signing the Act into law and has already made stern representations with the US.,0
I would like to remind the US side of the speech made by President Xi Jinping at the 40th anniversary of issuing Message to Compatriots in Taiwan.,0
"He stressed solemnly that the Taiwan question belongs to China's internal affairs, concerns China's core interests and the national bond of the Chinese people and allows no interference from the outside.",0
We urge the US side to abide by the one-China principle and the provisions of the three China-US joint communiques.,1
The US must not implement the relevant contents of the Act and should carefully handle the Taiwan-related issues in a cautious manner so as not to impair the overall situation of the China-US relations and cross-Straits peace and stability.,0
"As we understand, the Chinese experts will share China's experience with Myanmar, and the two sides will exchange views on medical treatment, epidemic prevention and control and laboratory testing, and provide guidance and training to relevant personnel. A batch of protective and medical equipment and other supplies donated by the Chinese side also arrived with them. ",2
"The two sides need to foster a business environment that is fair, just, transparent, convenient and non-discriminatory for bilateral investment, and speed up negotiations on an upgraded FTA for better growth of our economic and trade ties.",1
"Regarding the specifics on the contacts between the economic teams from the two sides, I would like to refer you to the Commerce Ministry. ",1
"Wang Wenbin: On September 14, the US side officially informed the Chinese side that Ambassador Branstad will leave his post in early October. ",1
"A: The Chinese side issued press releases of President Duterte's recent visit to China. During their meeting, President Xi noted that China and the Philippines need to shelve differences, steer clear of external disturbances, and focus on cooperation, development and practical results. As long as the South China Sea issue is handled properly, the atmosphere for China-Philippines relations will be favorable and the foundation will be stable, which will be an essential guarantee for regional peace and stability. President Duterte said that instead of confrontation, he chooses cooperation to resolve the South China Sea dispute peacefully, and that it serves the interests of all regional parties to uphold friendly cooperation, peace and stability. The Philippine side is ready to expedite cooperation with China in the joint exploitation of oil and gas. The two sides announced the establishment of an intergovernmental joint steering committee and a working group between relevant enterprises from the two countries on oil and gas cooperation. China looks forward to early substantive progress that delivers benefits to both countries and peoples. Having agreed on the basic principles and working mechanisms, the two sides will stay in close consultation.",2
China pursues a national defense policy which is defensive in nature and firmly safeguards its legitimate national and security interests. We will by no means accept any form of blackmail. I once again urge the US to refrain from going against the trend of the times and think twice before taking any action on this issue. ,0
"In Australia, there was the infamous White Australia Policy. Under genocide policies, 100,000 aboriginal children were forcibly removed from their families, separating children from parents and leaving them heart-broken. The lingering pain inflicted on the Stolen Generations can still be felt clearly today across the whole society. ",0
"Faced with the complex and volatile international situation, especially attempted interference by certain countries in the affairs of others, China and Russia will act on the consensus between the two presidents, enhance mutual support and back-to-back strategic coordination, protect common interests and safeguard peace, stability, equity and justice of the region and beyond. ",2
